School_ID,School_Name,Borough,Building_Code,Street_Address,City,State,Zip_Code,Latitude,Longitude,Phone_Number,Start_Time,End_Time,Student_Enrollment,Percent_White,Percent_Black,Percent_Hispanic,Percent_Asian,Average_Score_SAT_Math,Average_Score_SAT_Reading,Average_Score_SAT_Writing,Percent_Tested
02M260,Clinton School Writers and Artists,Manhattan,M933,425 West 33rd Street,Manhattan,NY,10001,40.75321,-73.99786,212-695-9114,,,,,,,,,,,
06M211,Inwood Early College for Health and Information Technologies,Manhattan,M052,650 Academy Street,Manhattan,NY,10002,40.86605,-73.92486,718-935-3660  ,8:30 AM,3:00 PM,87,0.03,0.22,0.68,0.05,,,,
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,111 Columbia Street,Manhattan,NY,10002,40.71873,-73.97943,212-677-5190,8:15 AM,4:00 PM,1735,0.29,0.13,0.18,0.39,657,601,601,0.91
02M294,Essex Street Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4773,8:00 AM,2:45 PM,358,0.12,0.39,0.41,0.06,395,411,387,0.79
02M308,Lower Manhattan Arts Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0143,8:30 AM,3:00 PM,383,0.03,0.28,0.57,0.09,418,428,415,0.65
02M545,High School for Dual Language and Asian Studies,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4097,8:00 AM,3:35 PM,416,0.02,0.03,0.06,0.89,613,453,463,0.96
01M292,Henry Street School for International Studies,Manhattan,M056,220 Henry Street,Manhattan,NY,10002,40.71376,-73.98526,212-406-9411,8:30 AM,3:30 PM,255,0.04,0.24,0.57,0.13,410,406,381,0.60
01M696,Bard High School Early College,Manhattan,M097,525 East Houston Street,Manhattan,NY,10002,40.71896,-73.97607,212-995-8479,9:00 AM,3:50 PM,545,0.45,0.17,0.19,0.17,634,641,639,0.71
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0745,8:32 AM,3:45 PM,329,0.03,0.42,0.49,0.06,389,395,381,0.81
01M509,Marta Valle High School,Manhattan,M025,145 Stanton Street,Manhattan,NY,10002,40.72057,-73.98567,212-473-8152,8:00 AM,3:30 PM,363,0.03,0.40,0.51,0.06,438,413,394,0.36
01M448,University Neighborhood High School,Manhattan,M446,200 Monroe Street,Manhattan,NY,10002,40.71233,-73.9848,212-962-4341,8:15 AM,3:15 PM,304,0.03,0.25,0.41,0.30,437,355,352,0.70
02M543,New Design High School,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4148,8:40 AM,2:56 PM,441,0.04,0.31,0.57,0.06,381,396,372,0.74
02M298,Pace High School,Manhattan,M131,100 Hester Street,Manhattan,NY,10002,40.71641,-73.99268,212-334-4663,9:00 AM,3:15 PM,423,0.02,0.28,0.45,0.14,430,435,427,0.88
02M420,High School for Health Professions and Human Services,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-780-9175,9:00 AM,3:45 PM,1664,0.07,0.19,0.51,0.22,452,445,430,0.87
02M399,High School for Language and Diplomacy,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-2480,8:00 AM,3:30 PM,437,0.06,0.20,0.40,0.31,446,433,411,0.70
02M546,Academy for Software Engineering,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-3299,8:45 AM,3:36 PM,344,0.09,0.29,0.46,0.11,,,,
02M533,Union Square Academy for Health Sciences,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-3110,8:00 AM,3:49 PM,319,0.05,0.20,0.57,0.16,,,,
02M438,International High School at Union Square,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-533-2560,8:45 AM,3:05 PM,353,0.10,0.14,0.45,0.31,403,330,316,0.53
02M407,Institute for Collaborative Education,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-475-7972,8:00 AM,3:00 PM,482,0.57,0.14,0.15,0.06,501,550,541,0.79
02M374,Gramercy Arts High School,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-7076,8:15 AM,3:30 PM,530,0.06,0.43,0.44,0.04,446,459,455,0.80
02M551,Urban Assembly New York Harbor School,Manhattan,M877,550 Wheeler Avenue,Manhattan,NY,10004,40.69079,-74.01976,212-458-0800,8:15 AM,4:00 PM,447,0.19,0.24,0.52,0.03,446,453,428,0.79
02M580,Richard R. Green High School of Teaching,Manhattan,M282,26 Broadway,Manhattan,NY,10004,40.70523,-74.01332,646-826-8174,8:30 AM,3:20 PM,566,0.03,0.31,0.59,0.06,411,415,409,0.60
02M418,Millennium High School,Manhattan,M824,75 Broad Street,Manhattan,NY,10004,40.70492,-74.01151,212-825-9008,8:30 AM,3:00 PM,659,0.33,0.08,0.18,0.38,577,560,567,0.94
02M316,Urban Assembly School of Business for Young Women,Manhattan,M282,26 Broadway,Manhattan,NY,10004,40.70523,-74.01332,212-668-0169,8:35 AM,3:30 PM,405,0.02,0.53,0.39,0.04,418,420,417,0.75
02M489,High School of Economics and Finance,Manhattan,M833,100 Trinity Place,Manhattan,NY,10006,40.70922,-74.01203,212-346-0708,8:30 AM,3:30 PM,796,0.07,0.23,0.47,0.22,469,442,447,0.67
02M425,Leadership and Public Service High School,Manhattan,M894,90 Trinity Place,Manhattan,NY,10006,40.70915,-74.01208,212-346-0007,8:30 AM,2:45 PM,699,0.04,0.28,0.62,0.04,390,396,392,0.55
01M450,East Side Community School,Manhattan,M060,420 East 12th Street,Manhattan,NY,10009,40.72978,-73.98304,212-460-8467,8:30 AM,3:30 PM,666,0.08,0.22,0.58,0.09,454,428,445,0.85
02M411,Baruch College Campus High School,Manhattan,M874,55 East 25th Street,Manhattan,NY,10010,40.74405,-73.99148,212-683-7440,8:20 AM,2:50 PM,451,0.23,0.06,0.15,0.55,592,526,531,0.94
02M047,47 American Sign Language and English Secondary School,Manhattan,M047,223 East 23rd Street,Manhattan,NY,10010,40.7386,-73.98251,917-326-6668,8:45 AM,3:45 PM,169,0.05,0.28,0.65,0.01,,,,0.48
02M413,School of the Future High School,Manhattan,M660,127 East 22nd Street,Manhattan,NY,10010,40.73895,-73.98541,212-475-8086,8:35 AM,3:10 PM,713,0.36,0.12,0.30,0.14,534,533,522,0.90
02M439,Manhattan Village Academy,Manhattan,M873,43 West 22nd Street,Manhattan,NY,10010,40.74149,-73.99145,212-242-8752,8:00 AM,3:20 PM,415,0.07,0.10,0.67,0.07,522,479,510,0.99
02M422,Quest to Learn,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-488-3645,9:00 AM,3:50 PM,564,0.24,0.22,0.42,0.09,,,,
02M412,NYC Lab School for Collaborative Studies,Manhattan,M070,333 West 17th Street,Manhattan,NY,10011,40.7421,-74.00207,212-691-6119,8:00 AM,2:50 PM,587,0.46,0.06,0.16,0.28,595,550,555,0.80
02M534,Harvest Collegiate High School,Manhattan,M883,34 West 14th Street,Manhattan,NY,10011,40.73676,-73.99551,212-242-3384,8:20 AM,3:17 PM,333,0.17,0.22,0.52,0.07,,,,
02M437,Hudson High School of Learning Technologies,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-488-3330,8:45 AM,3:30 PM,483,0.03,0.29,0.59,0.06,378,407,388,0.72
02M392,Manhattan Business Academy,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-647-1983,8:30 AM,3:15 PM,438,0.04,0.28,0.62,0.03,410,407,399,0.70
02M605,Humanities Preparatory Academy,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-929-4433,9:00 AM,3:15 PM,,,,,,,,,
02M419,Landmark High School,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-647-7410,8:45 AM,3:20 PM,355,0.02,0.24,0.69,0.04,386,386,386,0.31
02M600,High School of Fashion Industries,Manhattan,M600,225 West 24th Street,Manhattan,NY,10011,40.74511,-73.99591,212-255-1235,8:00 AM,3:45 PM,1770,0.04,0.36,0.54,0.05,433,442,427,0.81
02M414,NYC Museum School,Manhattan,M070,333 West 17th Street,Manhattan,NY,10011,40.7421,-74.00207,212-675-6206,8:15 AM,2:45 PM,471,0.12,0.13,0.40,0.34,560,530,522,0.90
02M615,Chelsea Career and Technical Education High School,Manhattan,M615,131 Avenue of the Americas,Manhattan,NY,10013,40.72435,-74.00476,212-925-1080,8:30 AM,4:00 PM,439,0.03,0.29,0.57,0.08,439,418,400,0.80
02M376,NYC iSchool,Manhattan,M615,131 Avenue of the Americas,Manhattan,NY,10013,40.72435,-74.00476,917-237-7300,9:00 AM,4:00 PM,442,0.29,0.20,0.40,0.09,518,515,503,0.96
02M432,Murray Hill Academy,Manhattan,M620,111 East 33rd Street,Manhattan,NY,10016,40.74611,-73.98101,212-696-0195,8:00 AM,2:58 PM,,,,,,,,,
02M427,Manhattan Academy for Arts and Language,Manhattan,M620,111 East 33rd Street,Manhattan,NY,10016,40.74611,-73.98101,212-576-0502,9:00 AM,3:40 PM,334,0.02,0.05,0.91,0.02,350,334,321,0.46
02M500,Unity Center for Urban Technologies,Manhattan,M620,111 East 33rd Street,Manhattan,NY,10016,40.74611,-73.98101,212-576-0530,8:15 AM,4:00 PM,284,0.05,0.28,0.59,0.06,375,385,387,0.63
02M393,Business of Sports School,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-246-2183,8:50 AM,3:30 PM,449,0.02,0.35,0.60,0.02,395,386,371,0.68
02M303,Facing History School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-757-2680,8:35 AM,3:00 PM,406,0.02,0.27,0.68,0.02,366,356,371,0.57
02M296,High School of Hospitality Management,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-1819,9:00 AM,3:45 PM,424,0.02,0.21,0.71,0.05,451,433,424,0.56
02M300,Urban Assembly School of Design and Construction,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-0981,8:00 AM,3:15 PM,414,0.03,0.30,0.59,0.06,445,417,403,0.61
02M135,Urban Assembly School for Emergency Management,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-245-4670,8:41 AM,3:31 PM,193,0.03,0.29,0.62,0.06,,,,
02M400,High School for Environmental Studies,Manhattan,M834,444 West 56th Street,Manhattan,NY,10019,40.76776,-73.98751,212-262-8113,8:15 AM,3:00 PM,1301,0.07,0.15,0.63,0.15,469,454,444,0.74
02M630,Art and Design High School,Manhattan,M488,231-249 East 56th Street,Manhattan,NY,10019,40.7654,-73.98177,212-752-4340,8:30 AM,4:00 PM,1476,0.11,0.24,0.55,0.09,455,475,458,0.70
02M542,Manhattan Bridges High School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-757-5274,8:00 AM,3:45 PM,529,0.00,0.00,1.00,0.00,409,360,347,0.84
02M507,Urban Assembly Gateway School for Technology,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-246-1041,8:00 AM,3:30 PM,472,0.06,0.30,0.54,0.08,445,432,415,0.78
02M288,Food and Finance High School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-2943,7:40 AM,2:30 PM,427,0.03,0.40,0.52,0.05,428,435,421,0.52
02M416,Eleanor Roosevelt High School,Manhattan,M855,411 East 76th Street,Manhattan,NY,10021,40.77012,-73.95338,212-772-1220,8:30 AM,3:30 PM,541,0.61,0.04,0.11,0.20,641,617,631,0.86
03M299,"High School for Arts, Imagination, and Inquiry",Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-799-4064,8:45 AM,3:26 PM,447,0.01,0.39,0.59,0.00,375,389,380,0.59
03M307,Urban Assembly School for Media Studies,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1110,9:00 AM,3:15 PM,412,0.02,0.36,0.58,0.02,392,419,396,0.50
03M479,Beacon High School,Manhattan,M837,227-243 West 61st Street,Manhattan,NY,10023,40.77216,-73.9878,212-245-2807,8:00 AM,3:00 PM,1285,0.52,0.14,0.24,0.09,583,586,595,0.83
03M485,Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,M485,100 Amsterdam Avenue,Manhattan,NY,10023,40.77367,-73.98527,212-496-0700,8:00 AM,4:00 PM,2635,0.45,0.11,0.19,0.19,592,592,597,0.89
03M494,High School of Arts and Technology,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1198,8:00 AM,2:45 PM,594,0.03,0.33,0.59,0.04,421,428,406,0.44
03M541,Manhattan / Hunter Science High School,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1235,8:00 AM,2:30 PM,451,0.13,0.16,0.38,0.26,581,531,535,0.97
03M859,Special Music School,Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-3318,8:00 AM,2:30 PM,231,0.29,0.22,0.15,0.19,,,,
03M492,"High School for Law, Advocacy, and Community Justice",Manhattan,M490,122 Amsterdam Avenue,Manhattan,NY,10023,40.7743,-73.98482,212-501-1201,8:00 AM,2:45 PM,510,0.02,0.42,0.53,0.02,415,417,402,0.61
03M402,Urban Assembly School for Green Careers,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-787-1189,8:30 AM,3:30 PM,353,0.03,0.23,0.72,0.01,393,371,378,0.60
03M417,Frank McCourt High School,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-362-2015,8:40 AM,3:00 PM,387,0.32,0.16,0.40,0.09,489,491,500,0.89
03M403,Global Learning Collaborative,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-877-1103,8:30 AM,3:30 PM,496,0.05,0.25,0.66,0.02,406,407,413,0.59
03M415,Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,M088,215 West 114th Street,Manhattan,NY,10026,40.80217,-73.95401,212-749-5800,8:00 AM,3:45 PM,445,0.01,0.52,0.44,0.02,381,401,392,0.53
03M860,Frederick Douglass Academy II Secondary School,Manhattan,M088,215 West 114th Street,Manhattan,NY,10026,40.80217,-73.95401,212-865-9260,8:00 AM,3:00 PM,411,0.02,0.68,0.26,0.02,390,384,373,0.64
05M362,Columbia Secondary School,Manhattan,M125,425 West 123rd Street,Manhattan,NY,10027,40.81092,-73.95693,212-666-1278,8:00 AM,4:00 PM,659,0.15,0.22,0.48,0.14,583,561,546,0.88
05M367,Academy for Social Action (College Board),Manhattan,M043,509 West 129th Street,Manhattan,NY,10027,40.81523,-73.9552,212-234-3102,8:35 AM,3:45 PM,234,0.03,0.47,0.49,0.01,357,349,365,0.54
05M369,Urban Assembly School for the Performing Arts,Manhattan,M043,509 West 129th Street,Manhattan,NY,10027,40.81523,-73.9552,212-234-4631,8:15 AM,3:15 PM,358,0.01,0.52,0.43,0.01,379,399,388,0.77
04M680,Heritage School,Manhattan,M107,1680 Lexington Avenue,Manhattan,NY,10029,40.79188,-73.94659,212-828-2858,8:30 AM,3:39 PM,322,0.02,0.32,0.64,0.01,385,380,370,0.57
04M555,Central Park East High School,Manhattan,M013,1573 Madison Avenue,Manhattan,NY,10029,40.79368,-73.94942,212-860-5929,8:30 AM,3:20 PM,466,0.04,0.25,0.63,0.07,483,468,439,0.98
04M495,Park East High School,Manhattan,M495,230 East 105th Street,Manhattan,NY,10029,40.79056,-73.94445,212-831-1517,8:45 AM,3:15 PM,413,0.02,0.28,0.64,0.05,429,433,435,0.90
04M610,Young Women's Leadership School,Manhattan,M895,105 East 106th Street,Manhattan,NY,10029,40.79271,-73.9473,212-289-7593,8:45 AM,3:15 PM,480,0.03,0.28,0.57,0.09,478,465,472,1.00
04M435,Manhattan Center for Science and Mathematics,Manhattan,M435,260 Pleasant Avenue,Manhattan,NY,10029,40.79374,-73.93408,212-876-4639,8:15 AM,2:40 PM,1603,0.04,0.21,0.54,0.19,556,505,495,0.88
04M372,Esperanza Preparatory Academy,Manhattan,M117,240 East 109th Street,Manhattan,NY,10029,40.79307,-73.94236,212-722-6507,8:00 AM,3:00 PM,507,0.02,0.13,0.83,0.01,,,,
05M304,Mott Hall High School,Manhattan,M136,6 Edgecombe Avenue,Manhattan,NY,10030,40.81736,-73.94771,212-694-6020,8:00 AM,3:30 PM,428,0.01,0.38,0.59,0.01,416,445,440,0.37
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,M970,200-214 West 135th Street,Manhattan,NY,10030,40.81536,-73.9439,212-283-8055,8:30 AM,3:00 PM,561,0.01,0.78,0.20,0.01,402,394,400,0.85
05M692,"High School for Mathematics, Science, and Engineering at City College",Manhattan,M812,240 Convent Avenue,Manhattan,NY,10031,40.82112,-73.94885,212-281-6490,8:00 AM,3:35 PM,470,0.27,0.10,0.22,0.39,683,610,596,0.93
06M540,A. Philip Randolph Campus High School,Manhattan,M540,443 West 135th Street,Manhattan,NY,10031,40.81832,-73.95061,212-926-0113,8:00 AM,2:20 PM,1354,0.02,0.32,0.60,0.05,459,453,447,0.74
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,M876,501 West 165th Street,Manhattan,NY,10032,40.83803,-73.93837,212-928-1202,8:00 AM,3:30 PM,504,0.00,0.00,1.00,0.00,383,355,352,0.71
06M346,Community Health Academy of the Heights,Manhattan,M814,504 West 158th Street,Manhattan,NY,10032,40.83356,-73.9418,212-342-6600,8:15 AM,3:00 PM,629,0.03,0.05,0.92,0.00,387,389,385,0.55
06M348,Washington Heights Expeditionary Learning School,Manhattan,M143,511 West 182nd Street,Manhattan,NY,10033,40.84888,-73.93081,212-781-0524,8:00 AM,3:00 PM,705,0.01,0.04,0.95,0.00,443,423,434,0.87
06M423,High School for Excellence and Innovation,Manhattan,M052,650 Academy Street,Manhattan,NY,10034,40.86605,-73.92486,212-569-1022,8:45 AM,3:30 PM,,,,,,,,,
05M157,Urban Assembly School for Global Commerce,Manhattan,M501,2005 Madison Avenue,Manhattan,NY,10035,40.80734,-73.93943,212-831-5201,8:10 AM,3:15 PM,164,0.01,0.44,0.49,0.02,,,,
04M409,Coalition School for Social Change,Manhattan,M045,2351 1st Avenue,Manhattan,NY,10035,40.79887,-73.93337,212-831-5153,8:45 AM,3:30 PM,283,0.04,0.41,0.50,0.04,344,368,367,0.41
02M531,Repertory Company High School for Theatre Arts,Manhattan,M896,123 West 43rd Street,Manhattan,NY,10036,40.75594,-73.98457,212-382-1875,8:15 AM,3:30 PM,246,0.09,0.37,0.50,0.02,425,451,458,0.90
02M408,Professional Performing Arts High School,Manhattan,M017,328 West 48th Street,Manhattan,NY,10036,40.76143,-73.98802,212-247-8652,8:15 AM,3:30 PM,536,0.43,0.26,0.22,0.03,496,520,516,0.72
02M529,Jacqueline Kennedy Onassis High School,Manhattan,M486,120 West 46th Street,Manhattan,NY,10036,40.75776,-73.98319,212-391-0041,8:00 AM,3:00 PM,676,0.04,0.21,0.70,0.04,418,422,415,0.54
02M280,Manhattan Early College School for Advertising,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,718-935-3477  ,8:30 AM,3:45 PM,97,0.16,0.32,0.43,0.07,,,,
02M520,Murry Bergtraum High School for Business Careers,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,212-964-9610,8:00 AM,3:00 PM,971,0.03,0.46,0.41,0.09,418,415,398,0.44
02M282,Urban Assembly Maker Academy,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.70934,-74.0053,718-935-3442,9:00 AM,3:45 PM,103,0.10,0.24,0.46,0.11,,,,
02M139,Stephen T. Mather Building Arts and Craftsmanship High School,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,212-225-0998,9:10 AM,3:30 PM,193,0.09,0.25,0.61,0.04,,,,
05M499,Frederick Douglass Academy,Manhattan,M010,2581 7th Avenue,Manhattan,NY,10039,40.82431,-73.93698,212-491-4107,8:00 AM,3:00 PM,1428,0.01,0.70,0.23,0.02,463,452,450,0.65
06M463,High School for Media and Communications,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,8:00 AM,3:45 PM,479,0.01,0.14,0.83,0.02,378,381,383,0.33
06M462,College Academy,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,8:00 AM,3:45 PM,491,0.01,0.09,0.89,0.00,367,377,363,0.42
06M467,High School for Law and Public Service,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-342-6130,8:00 AM,3:45 PM,671,0.02,0.17,0.81,0.00,401,394,381,0.44
06M293,City College Academy of the Arts,Manhattan,M218,4600 Broadway,Manhattan,NY,10040,40.86111,-73.93045,212-567-3164,8:15 AM,4:00 PM,587,0.01,0.04,0.94,0.01,495,445,450,0.95
06M468,High School for Health Careers and Sciences,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,8:00 AM,3:45 PM,605,0.02,0.16,0.80,0.01,374,385,389,0.56
02M459,Manhattan International High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-517-6728,8:45 AM,3:05 PM,343,0.12,0.17,0.41,0.29,438,358,382,0.59
02M519,Talent Unlimited High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-737-1530,8:10 AM,3:20 PM,506,0.20,0.33,0.40,0.05,485,498,496,0.89
02M449,Vanguard High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-517-5175,8:00 AM,3:00 PM,486,0.05,0.27,0.57,0.08,431,409,396,0.64
02M655,Life Sciences Secondary School,Manhattan,M645,320 East 96th Street,Manhattan,NY,10128,40.78364,-73.94574,212-348-1694,8:00 AM,3:00 PM,697,0.03,0.28,0.62,0.04,435,440,425,0.63
02M475,Stuyvesant High School,Manhattan,M477,345 Chambers Street,Manhattan,NY,10282,40.71775,-74.01405,212-312-4800,8:00 AM,3:30 PM,3296,0.20,0.01,0.03,0.73,754,697,693,0.97
